front,back,module,difficulty,last_reviewed,next_review,interval_days
"O que significa o símbolo ∈?","Pertence (elemento de um conjunto). Ex: 3 ∈ {1,2,3}","M1-math",easy,"","",1
"O que significa o símbolo ∀?","Para todo / Para qualquer. Ex: ∀x, x+0=x","M1-math",easy,"","",1
"O que significa o símbolo ∃?","Existe (pelo menos um). Ex: ∃x, x²=4","M1-math",easy,"","",1
"O que é Big O notation?","Notação para descrever limite superior do comportamento assintótico (pior caso)","M1-math",medium,"","",1
"O que significa O(log n)?","Complexidade logarítmica. A cada iteração, problema reduz pela metade","M1-math",medium,"","",1
"Quanto é log₂(8)?","3 (porque 2³ = 8)","M1-math",easy,"","",1
"Quanto é log₂(64)?","6 (porque 2⁶ = 64)","M1-math",easy,"","",1
"Lei de De Morgan: ¬(A ∧ B) = ?","¬A ∨ ¬B (negação de AND vira OR de negações)","M1-math",medium,"","",1
"O que é prova por indução?","Técnica de prova: (1) Base: prova P(0), (2) Passo: assume P(k), prova P(k+1)","M1-math",hard,"","",1
"∑ᵢ₌₁ⁿ i = ?","n(n+1)/2","M1-math",medium,"","",1
